,min,max,shape,spacing
76_76_0_brain_t1n.nii.gz,0.0,1649.68359375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
383_383_0_brain_t1n.nii.gz,0.0,1660.183349609375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
78_78_0_brain_t1n.nii.gz,0.0,1672.628662109375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
139_139_0_brain_t1n.nii.gz,0.0,1691.056640625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
141_141_0_brain_t1n.nii.gz,0.0,1695.2799072265625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
395_395_0_brain_t1n.nii.gz,0.0,1696.865234375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
356_356_0_brain_t1n.nii.gz,0.0,1697.9378662109375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
113_113_0_brain_t1n.nii.gz,0.0,1699.4805908203125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
125_125_0_brain_t1n.nii.gz,0.0,1730.2642822265625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
204_204_0_brain_t1n.nii.gz,0.0,1733.531494140625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
69_69_0_brain_t1n.nii.gz,0.0,1747.6685791015625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
16_16_0_brain_t1n.nii.gz,0.0,1749.5350341796875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
421_421_0_brain_t1n.nii.gz,0.0,1753.933349609375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
394_394_0_brain_t1n.nii.gz,0.0,1766.2823486328125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
1_1_0_brain_t1n.nii.gz,0.0,1767.5692138671875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
423_423_0_brain_t1n.nii.gz,0.0,1782.7451171875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
354_354_0_brain_t1n.nii.gz,0.0,1786.6802978515625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
406_406_0_brain_t1n.nii.gz,0.0,1799.86669921875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
61_61_0_brain_t1n.nii.gz,0.0,1806.0408935546875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
409_409_0_brain_t1n.nii.gz,0.0,1831.8883056640625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
65_65_0_brain_t1n.nii.gz,0.0,1835.298828125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
199_199_0_brain_t1n.nii.gz,0.0,1843.77734375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
201_201_0_brain_t1n.nii.gz,0.0,1852.7559814453125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
432_432_0_brain_t1n.nii.gz,0.0,1856.39453125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
428_428_0_brain_t1n.nii.gz,0.0,1856.753173828125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
225_225_0_brain_t1n.nii.gz,0.0,1857.1181640625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
416_416_0_brain_t1n.nii.gz,0.0,1862.4400634765625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
31_31_0_brain_t1n.nii.gz,0.0,1868.423583984375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
433_433_0_brain_t1n.nii.gz,0.0,1872.625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
427_427_0_brain_t1n.nii.gz,0.0,1872.625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
89_89_0_brain_t1n.nii.gz,0.0,1888.026123046875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
213_213_0_brain_t1n.nii.gz,0.0,1943.0972900390625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
35_35_0_brain_t1n.nii.gz,0.0,1947.413818359375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
77_77_0_brain_t1n.nii.gz,0.0,1951.4185791015625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
400_400_0_brain_t1n.nii.gz,0.0,1953.146484375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
87_87_0_brain_t1n.nii.gz,0.0,1986.380126953125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
429_429_0_brain_t1n.nii.gz,0.0,2002.1431884765625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
210_210_0_brain_t1n.nii.gz,0.0,2022.4388427734375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
211_211_0_brain_t1n.nii.gz,0.0,2027.76953125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
8_8_0_brain_t1n.nii.gz,0.0,2037.9139404296875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
384_384_0_brain_t1n.nii.gz,0.0,2048.138671875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
434_434_0_brain_t1n.nii.gz,0.0,2070.564697265625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
111_111_0_brain_t1n.nii.gz,0.0,2081.456787109375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
142_142_0_brain_t1n.nii.gz,0.0,2085.23291015625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
84_84_0_brain_t1n.nii.gz,0.0,2101.699462890625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
73_73_0_brain_t1n.nii.gz,0.0,2106.180908203125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
119_119_0_brain_t1n.nii.gz,0.0,2106.273681640625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
212_212_0_brain_t1n.nii.gz,0.0,2109.09521484375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
91_91_0_brain_t1n.nii.gz,0.0,2111.842041015625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
226_226_0_brain_t1n.nii.gz,0.0,2120.563720703125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
83_83_0_brain_t1n.nii.gz,0.0,2147.823974609375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
193_193_0_brain_t1n.nii.gz,0.0,2176.275634765625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
374_374_0_brain_t1n.nii.gz,0.0,2235.435791015625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
134_134_0_brain_t1n.nii.gz,0.0,2235.461669921875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
137_137_0_brain_t1n.nii.gz,0.0,2275.378662109375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
11_11_0_brain_t1n.nii.gz,0.0,2301.770751953125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
75_75_0_brain_t1n.nii.gz,0.0,2302.947509765625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
215_215_0_brain_t1n.nii.gz,0.0,2308.643310546875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
96_96_0_brain_t1n.nii.gz,0.0,2330.03369140625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
99_99_0_brain_t1n.nii.gz,0.0,2330.8349609375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
214_214_0_brain_t1n.nii.gz,0.0,2340.3798828125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
74_74_0_brain_t1n.nii.gz,0.0,2365.455078125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
102_102_0_brain_t1n.nii.gz,0.0,2377.00244140625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
95_95_0_brain_t1n.nii.gz,0.0,2382.422119140625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
116_116_0_brain_t1n.nii.gz,0.0,2442.635009765625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
85_85_0_brain_t1n.nii.gz,0.0,2451.591064453125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
94_94_0_brain_t1n.nii.gz,0.0,2477.49072265625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
90_90_0_brain_t1n.nii.gz,0.0,2478.600830078125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
81_81_0_brain_t1n.nii.gz,0.0,2487.6650390625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
129_129_0_brain_t1n.nii.gz,0.0,2487.997802734375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
80_80_0_brain_t1n.nii.gz,0.0,2505.32958984375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
370_370_0_brain_t1n.nii.gz,0.0,2513.3017578125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
6_6_0_brain_t1n.nii.gz,0.0,2514.050537109375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
376_376_0_brain_t1n.nii.gz,0.0,2518.2548828125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
368_368_0_brain_t1n.nii.gz,0.0,2555.01708984375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
372_372_0_brain_t1n.nii.gz,0.0,2568.2939453125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
9_9_0_brain_t1n.nii.gz,0.0,2574.60205078125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
202_202_0_brain_t1n.nii.gz,0.0,2605.393798828125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
128_128_0_brain_t1n.nii.gz,0.0,2617.88623046875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
67_67_0_brain_t1n.nii.gz,0.0,2621.563232421875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
46_46_0_brain_t1n.nii.gz,0.0,2642.249755859375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
228_228_0_brain_t1n.nii.gz,0.0,2682.54150390625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
68_68_0_brain_t1n.nii.gz,0.0,2714.279052734375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
86_86_0_brain_t1n.nii.gz,0.0,2750.13232421875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
130_130_0_brain_t1n.nii.gz,0.0,2769.438232421875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
217_217_0_brain_t1n.nii.gz,0.0,2793.775634765625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
92_92_0_brain_t1n.nii.gz,0.0,2818.48681640625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
115_115_0_brain_t1n.nii.gz,0.0,2849.4248046875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
360_360_0_brain_t1n.nii.gz,0.0,2849.574462890625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
224_224_0_brain_t1n.nii.gz,0.0,2885.996337890625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
208_208_0_brain_t1n.nii.gz,0.0,2945.826416015625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
103_103_0_brain_t1n.nii.gz,0.0,2947.5390625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
216_216_0_brain_t1n.nii.gz,0.0,3002.249755859375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
361_361_0_brain_t1n.nii.gz,0.0,3351.75830078125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
114_114_0_brain_t1n.nii.gz,0.0,3441.354736328125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
43_43_0_brain_t1n.nii.gz,0.0,3451.41162109375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
60_60_0_brain_t1n.nii.gz,0.0,3858.845703125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
410_410_0_brain_t1n.nii.gz,0.0,3892.62646484375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
420_420_0_brain_t1n.nii.gz,0.0,4145.21435546875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
373_373_0_brain_t1n.nii.gz,0.0,6888.44140625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
