,min,max,shape,spacing
383_383_0_brain_t2w.nii.gz,0.0,3051.954345703125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
194_194_0_brain_t2w.nii.gz,0.0,3068.75390625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
375_375_0_brain_t2w.nii.gz,0.0,3082.3525390625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
398_398_0_brain_t2w.nii.gz,0.0,3086.403076171875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
11_11_0_brain_t2w.nii.gz,0.0,3090.414794921875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
226_226_0_brain_t2w.nii.gz,0.0,3095.5146484375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
379_379_0_brain_t2w.nii.gz,0.0,3104.06298828125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
213_213_0_brain_t2w.nii.gz,0.0,3136.28076171875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
96_96_0_brain_t2w.nii.gz,0.0,3143.05517578125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
193_193_0_brain_t2w.nii.gz,0.0,3148.319091796875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
9_9_0_brain_t2w.nii.gz,0.0,3170.06640625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
65_65_0_brain_t2w.nii.gz,0.0,3182.4755859375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
400_400_0_brain_t2w.nii.gz,0.0,3187.918212890625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
8_8_0_brain_t2w.nii.gz,0.0,3215.22509765625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
361_361_0_brain_t2w.nii.gz,0.0,3222.998291015625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
68_68_0_brain_t2w.nii.gz,0.0,3236.7353515625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
97_97_0_brain_t2w.nii.gz,0.0,3245.1552734375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
31_31_0_brain_t2w.nii.gz,0.0,3270.401123046875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
429_429_0_brain_t2w.nii.gz,0.0,3276.9013671875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
196_196_0_brain_t2w.nii.gz,0.0,3280.528076171875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
211_211_0_brain_t2w.nii.gz,0.0,3291.80908203125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
67_67_0_brain_t2w.nii.gz,0.0,3295.309814453125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
354_354_0_brain_t2w.nii.gz,0.0,3307.983154296875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
46_46_0_brain_t2w.nii.gz,0.0,3329.92041015625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
205_205_0_brain_t2w.nii.gz,0.0,3339.256103515625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
416_416_0_brain_t2w.nii.gz,0.0,3342.975830078125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
406_406_0_brain_t2w.nii.gz,0.0,3358.22705078125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
227_227_0_brain_t2w.nii.gz,0.0,3366.171630859375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
421_421_0_brain_t2w.nii.gz,0.0,3371.559814453125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
89_89_0_brain_t2w.nii.gz,0.0,3372.41259765625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
409_409_0_brain_t2w.nii.gz,0.0,3372.931396484375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
414_414_0_brain_t2w.nii.gz,0.0,3405.169189453125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
105_105_0_brain_t2w.nii.gz,0.0,3433.207763671875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
141_141_0_brain_t2w.nii.gz,0.0,3435.0107421875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
434_434_0_brain_t2w.nii.gz,0.0,3440.5068359375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
103_103_0_brain_t2w.nii.gz,0.0,3447.97265625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
433_433_0_brain_t2w.nii.gz,0.0,3453.296630859375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
427_427_0_brain_t2w.nii.gz,0.0,3453.296630859375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
56_56_0_brain_t2w.nii.gz,0.0,3458.727294921875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
94_94_0_brain_t2w.nii.gz,0.0,3464.93310546875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
16_16_0_brain_t2w.nii.gz,0.0,3468.29638671875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
69_69_0_brain_t2w.nii.gz,0.0,3496.836181640625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
130_130_0_brain_t2w.nii.gz,0.0,3497.640380859375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
74_74_0_brain_t2w.nii.gz,0.0,3518.947998046875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
102_102_0_brain_t2w.nii.gz,0.0,3535.0546875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
35_35_0_brain_t2w.nii.gz,0.0,3535.18359375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
83_83_0_brain_t2w.nii.gz,0.0,3541.947021484375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
212_212_0_brain_t2w.nii.gz,0.0,3551.802734375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
363_363_0_brain_t2w.nii.gz,0.0,3580.499755859375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
99_99_0_brain_t2w.nii.gz,0.0,3595.607177734375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
61_61_0_brain_t2w.nii.gz,0.0,3602.16259765625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
80_80_0_brain_t2w.nii.gz,0.0,3605.451904296875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
82_82_0_brain_t2w.nii.gz,0.0,3623.040771484375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
353_353_0_brain_t2w.nii.gz,0.0,3630.904296875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
410_410_0_brain_t2w.nii.gz,0.0,3632.623291015625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
106_106_0_brain_t2w.nii.gz,0.0,3634.641357421875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
85_85_0_brain_t2w.nii.gz,0.0,3640.788330078125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
384_384_0_brain_t2w.nii.gz,0.0,3645.618408203125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
43_43_0_brain_t2w.nii.gz,0.0,3649.077880859375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
134_134_0_brain_t2w.nii.gz,0.0,3651.754638671875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
356_356_0_brain_t2w.nii.gz,0.0,3673.9921875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
366_366_0_brain_t2w.nii.gz,0.0,3676.0791015625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
217_217_0_brain_t2w.nii.gz,0.0,3699.506591796875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
81_81_0_brain_t2w.nii.gz,0.0,3701.7958984375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
90_90_0_brain_t2w.nii.gz,0.0,3712.626708984375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
201_201_0_brain_t2w.nii.gz,0.0,3721.44287109375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
86_86_0_brain_t2w.nii.gz,0.0,3727.680419921875,"(240, 240, 155)","(1.0, 1.0, 1.0)"
225_225_0_brain_t2w.nii.gz,0.0,3759.228759765625,"(240, 240, 155)","(1.0, 1.0, 1.0)"
6_6_0_brain_t2w.nii.gz,0.0,3872.4443359375,"(240, 240, 155)","(1.0, 1.0, 1.0)"
214_214_0_brain_t2w.nii.gz,0.0,3882.137939453125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
192_192_0_brain_t2w.nii.gz,0.0,3892.874267578125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
87_87_0_brain_t2w.nii.gz,0.0,3894.280517578125,"(240, 240, 155)","(1.0, 1.0, 1.0)"
